centroid_name,lon,lat,GEOID
centroid_444,-111.96665,41.024307,49011126108
centroid_445,-111.968218,41.193171,49057210800
centroid_446,-111.968334,41.095162,49011125807
centroid_447,-111.9686,41.063783,49011126001
centroid_448,-111.968683,41.082159,49011125805
centroid_449,-111.968726,40.772193,49035980000
centroid_450,-111.969202,40.510658,49035113016
centroid_451,-111.969521,40.688171,49035113309
centroid_452,-111.971081,40.572403,49035113008
centroid_453,-111.972082,40.616407,49035112912
centroid_454,-111.972178,40.675112,49035113537
centroid_455,-111.973179,41.226044,49057201100
centroid_456,-111.973573,40.604184,49035112916
centroid_457,-111.974005,40.531144,49035113013
centroid_458,-111.974155,41.212538,49057201200
centroid_459,-111.97438,41.203082,49057201800
centroid_460,-111.975047,41.239805,49057200400
centroid_461,-111.975796,40.631238,49035112904
centroid_462,-111.975978,40.544886,49035113025
centroid_463,-111.976022,40.660124,49035113521
centroid_464,-111.977644,40.646834,49035113523
centroid_465,-111.978806,41.179923,49057211000
centroid_466,-111.979543,41.258746,49057200301
centroid_467,-111.980286,41.169234,49057211100
centroid_468,-111.980431,41.284824,49057210306
centroid_469,-111.981298,41.04229,49011126107
centroid_470,-111.981719,41.099645,49011125809
centroid_471,-111.982206,40.688298,49035113411
centroid_472,-111.982771,40.674941,49035113536
centroid_473,-111.983151,41.326667,49057210303
centroid_474,-111.983191,40.357191,49049010119
centroid_475,-111.984192,40.558121,49035113021
centroid_476,-111.985378,41.114437,49011980000
centroid_477,-111.985541,40.628845,49035114301
centroid_478,-111.98624,41.299845,49057210305
centroid_479,-111.987143,41.054503,49011126002
centroid_480,-111.987762,40.584366,49035113102
centroid_481,-111.988183,40.486484,49035115109
centroid_482,-111.989418,41.940102,49005000102
centroid_483,-111.989566,41.095744,49011125810
centroid_484,-111.989971,41.260981,49057200302
centroid_485,-111.990743,40.700582,49035113406
centroid_486,-111.992476,40.643452,49035113701
centroid_487,-111.993479,40.59462,49035113101
centroid_488,-111.993725,40.363105,49049010122
centroid_489,-111.99379,41.081887,49011125801
centroid_490,-111.994723,40.660784,49035113600
centroid_491,-111.995243,40.572848,49035113007
centroid_492,-111.995718,40.674288,49035113505
centroid_493,-111.995826,40.616686,49035980100
centroid_494,-111.996017,40.556347,49035113022
centroid_495,-111.996204,40.688709,49035113410
centroid_496,-111.99729,40.64703,49035113702
centroid_497,-111.997813,41.188851,49057210511
centroid_498,-111.998657,41.219744,49057201900
centroid_499,-112.000428,41.31434,49057210304
centroid_500,-112.000709,40.529665,49035113109
centroid_501,-112.001492,40.541008,49035113023
centroid_502,-112.001644,41.10941,49011125201
centroid_503,-112.003382,41.521646,49003960601
centroid_504,-112.003874,40.617978,49035114302
centroid_505,-112.00425,40.70772,49035114500
centroid_506,-112.004627,41.172579,49057210512
centroid_507,-112.007187,40.662033,49035113802
centroid_508,-112.007791,40.31239,49049010114
centroid_509,-112.008483,41.516544,49003960601
centroid_510,-112.008946,41.267921,49057210405
centroid_511,-112.00913,40.645508,49035113805
centroid_512,-112.009192,41.497793,49003960702
centroid_513,-112.009729,40.483189,49035115108
centroid_514,-112.010258,41.097492,49011125701
centroid_515,-112.011518,40.558685,49035115210
centroid_516,-112.011919,40.30206,49049010115
centroid_517,-112.012235,40.493281,49035113110
centroid_518,-112.012244,40.616436,49035113543
centroid_519,-112.012293,40.678312,49035113538
centroid_520,-112.013095,40.593192,49035113108
centroid_521,-112.013694,41.081241,49011125414
centroid_522,-112.013799,40.502771,49035113111
centroid_523,-112.013847,40.514439,49035113113
centroid_524,-112.013886,40.700084,49035113412
centroid_525,-112.013913,40.68891,49035113413
centroid_526,-112.015179,41.41467,49003960801
centroid_527,-112.015221,40.634595,49035113527
centroid_528,-112.015384,40.672285,49035113539
centroid_529,-112.015703,40.627586,49035113528
centroid_530,-112.016916,41.112229,49011125702
centroid_531,-112.01748,40.360281,49049010122
centroid_532,-112.017792,40.658171,49035113801
centroid_533,-112.019615,40.603192,49035114304
centroid_534,-112.019787,40.646025,49035113804
centroid_535,-112.020384,41.076257,49011125415
centroid_536,-112.023359,40.527993,49035113114
centroid_537,-112.023602,41.521734,49003960500
centroid_538,-112.024698,41.495513,49003960701
centroid_539,-112.028804,40.565908,49035115210
centroid_540,-112.030471,41.18391,49057210600
