centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-112.001644_41.10941,centroid_502,67.67,9.35,0.34,1.55,21.09
-112.003382_41.521646,centroid_503,43.47,15.26,0.15,1.67,39.46
-112.003874_40.617978,centroid_504,68.98,9.2,1.53,1.2,19.09
-112.00425_40.70772,centroid_505,73.56,7.57,0.83,0.7,17.34
-112.004627_41.172579,centroid_506,64.67,10.64,0.21,1.6,22.89
-112.007187_40.662033,centroid_507,71.35,8.15,1.17,0.96,18.37
-112.007791_40.31239,centroid_508,30.7,17.96,11.87,0.86,38.61
-112.008483_41.516544,centroid_509,45.68,14.8,0.13,1.84,37.55
-112.008946_41.267921,centroid_510,55.03,11.76,0.26,2.09,30.86
-112.00913_40.645508,centroid_511,70.42,8.82,1.22,1.04,18.5
-112.009192_41.497793,centroid_512,44.78,15.14,0.16,1.92,38.0
-112.009729_40.483189,centroid_513,58.48,12.24,2.65,1.23,25.4
-112.010258_41.097492,centroid_514,67.56,9.48,0.22,1.52,21.23
-112.011518_40.558685,centroid_515,64.55,10.27,1.84,1.43,21.91
-112.011919_40.30206,centroid_516,30.28,18.19,11.61,0.87,39.05
-112.012235_40.493281,centroid_517,58.81,12.24,2.47,1.3,25.19
-112.012244_40.616436,centroid_518,69.39,9.08,1.38,1.3,18.86
-112.012293_40.678312,centroid_519,72.04,7.99,1.06,0.89,18.01
-112.013095_40.593192,centroid_520,67.58,9.72,1.68,1.35,19.67
-112.013694_41.081241,centroid_521,67.91,8.95,0.23,1.49,21.42
-112.013799_40.502771,centroid_522,60.09,11.7,2.44,1.12,24.64
-112.013847_40.514439,centroid_523,60.91,11.14,2.12,1.55,24.29
-112.013886_40.700084,centroid_524,72.79,7.66,0.88,0.73,17.94
-112.013913_40.68891,centroid_525,71.71,7.88,0.98,0.77,18.65
-112.015179_41.41467,centroid_526,53.32,11.75,0.19,2.23,32.51
-112.015221_40.634595,centroid_527,69.73,8.71,1.26,1.23,19.07
-112.015384_40.672285,centroid_528,72.63,7.97,0.94,0.91,17.56
-112.015703_40.627586,centroid_529,69.66,8.95,1.32,1.3,18.77
-112.016916_41.112229,centroid_530,68.05,9.29,0.31,1.46,20.89
-112.01748_40.360281,centroid_531,32.51,18.87,9.82,1.12,37.68
-112.017792_40.658171,centroid_532,70.97,8.24,1.05,0.98,18.75
-112.019615_40.603192,centroid_533,68.36,9.36,1.41,1.41,19.46
-112.019787_40.646025,centroid_534,70.22,8.3,1.13,1.04,19.3
-112.020384_41.076257,centroid_535,69.71,8.63,0.21,1.38,20.06
-112.023359_40.527993,centroid_536,61.28,11.15,1.98,1.45,24.14
-112.023602_41.521734,centroid_537,45.07,14.35,0.13,1.93,38.52
-112.024698_41.495513,centroid_538,45.02,14.66,0.13,2.02,38.17
-112.028804_40.565908,centroid_539,65.22,10.53,1.76,1.52,20.96
-112.030471_41.18391,centroid_540,64.33,10.56,0.29,1.59,23.23
-112.030958_41.081032,centroid_541,70.61,8.55,0.25,1.36,19.22
-112.031147_41.466594,centroid_542,51.25,12.98,0.2,1.97,33.61
-112.031495_41.140322,centroid_543,66.9,9.31,0.21,1.5,22.08
-112.032504_40.501352,centroid_544,59.2,11.94,2.3,1.28,25.28
-112.032898_40.64508,centroid_545,71.2,8.73,1.09,1.19,17.79
-112.033318_41.169763,centroid_546,65.8,10.05,0.23,1.49,22.43
-112.033448_41.093148,centroid_547,69.71,8.57,0.23,1.32,20.17
-112.034503_41.118399,centroid_548,69.56,8.78,0.2,1.43,20.03
-112.034807_40.628157,centroid_549,70.29,8.84,1.14,1.47,18.27
-112.035582_40.667654,centroid_550,71.56,8.41,1.0,1.01,18.01
-112.036508_40.68917,centroid_551,73.0,7.91,0.98,0.98,17.13
-112.037258_40.678028,centroid_552,72.33,8.17,0.98,0.97,17.55
-112.037353_41.072467,centroid_553,71.75,8.1,0.22,1.26,18.66
-112.038548_40.634744,centroid_554,70.04,8.73,1.04,1.54,18.65
-112.041071_41.31379,centroid_555,55.36,11.7,0.18,2.19,30.58
-112.043027_41.190524,centroid_556,65.02,9.98,0.18,1.58,23.24
-112.043257_40.61559,centroid_557,68.34,9.67,1.19,1.8,19.01
-112.043544_40.48659,centroid_558,55.66,12.55,2.97,1.51,27.31
-112.044004_41.224744,centroid_559,61.47,10.47,0.2,1.55,26.31
-112.04462_41.157065,centroid_560,65.63,10.05,0.22,1.41,22.68
