centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.956877_41.296637,centroid_420,50.85,13.28,0.36,2.79,32.72
-111.957299_40.616163,centroid_421,57.27,12.11,2.25,1.31,27.06
-111.957363_41.211189,centroid_422,56.21,12.02,0.3,2.1,29.37
-111.957765_40.632023,centroid_423,58.97,11.97,2.22,1.37,25.47
-111.95837_41.242293,centroid_424,53.91,12.92,0.39,2.45,30.33
-111.95845_40.60327,centroid_425,55.8,12.56,2.49,1.19,27.96
-111.958641_41.2164,centroid_426,56.57,12.46,0.32,2.21,28.44
-111.959008_41.176728,centroid_427,57.62,11.88,0.34,1.87,28.29
-111.959194_41.282302,centroid_428,51.55,13.25,0.45,2.72,32.04
-111.959583_40.660737,centroid_429,60.49,11.13,2.02,1.09,25.27
-111.960089_40.355034,centroid_430,30.48,18.29,11.97,0.82,38.44
-111.96022_40.690792,centroid_431,61.93,11.02,1.87,0.88,24.31
-111.960315_40.372252,centroid_432,31.43,18.67,12.82,0.73,36.36
-111.960869_40.488003,centroid_433,48.35,14.8,5.69,1.01,30.14
-111.961602_41.272077,centroid_434,51.58,13.42,0.4,2.79,31.81
-111.961721_40.675876,centroid_435,60.52,11.37,1.88,0.98,25.26
-111.962521_40.645717,centroid_436,59.17,11.3,2.01,1.19,26.33
-111.962649_40.588946,centroid_437,55.39,12.85,2.55,1.38,27.82
-111.963274_41.204051,centroid_438,56.47,11.86,0.33,1.92,29.42
-111.964209_41.226269,centroid_439,55.48,12.08,0.33,2.08,30.03
-111.964559_40.700084,centroid_440,62.87,10.5,1.72,0.86,24.05
-111.965115_41.2587,centroid_441,52.09,13.39,0.36,2.53,31.63
-111.965807_40.551035,centroid_442,52.68,13.37,2.8,1.61,29.54
-111.965989_40.708888,centroid_443,62.85,10.59,1.53,0.85,24.18
-111.96665_41.024307,centroid_444,61.12,10.75,0.34,1.85,25.94
-111.968218_41.193171,centroid_445,57.58,11.44,0.39,1.84,28.75
-111.968334_41.095162,centroid_446,56.83,12.16,0.47,2.0,28.54
-111.968683_41.082159,centroid_447,56.69,12.13,0.45,2.03,28.71
